2025-11-14T18:23:08.805378+00:00	-1	1.89
2025-11-14T18:23:08.813105+00:00	-2	1.90
2025-11-14T18:23:08.825506+00:00	-3	1.90
2025-11-14T18:23:08.833891+00:00	4	1.92
2025-11-14T18:23:08.841749+00:00	1	1.92
2025-11-14T18:23:08.850427+00:00	-2	1.93
2025-11-14T18:23:08.858210+00:00	0	1.92
2025-11-14T18:23:08.866787+00:00	0	1.92
2025-11-14T18:23:08.874933+00:00	2	1.93
2025-11-14T18:23:08.882883+00:00	-1	1.93
2025-11-14T18:23:08.895342+00:00	-1	1.93
2025-11-14T18:23:08.903331+00:00	3	1.92
2025-11-14T18:23:08.911595+00:00	1	1.92
2025-11-14T18:23:08.919751+00:00	0	1.92
2025-11-14T18:23:08.927911+00:00	0	1.92
2025-11-14T18:23:08.936421+00:00	-2	1.93
2025-11-14T18:23:08.944288+00:00	0	1.92
2025-11-14T18:23:08.952639+00:00	0	1.92
2025-11-14T18:23:08.960693+00:00	0	1.91
2025-11-14T18:23:08.969182+00:00	1	1.91
2025-11-14T18:23:08.977082+00:00	-2	1.92
2025-11-14T18:23:08.985591+00:00	1	1.92
2025-11-14T18:23:08.997779+00:00	-1	1.91
2025-11-14T18:23:09.005986+00:00	0	1.91
2025-11-14T18:23:09.014177+00:00	-1	1.91
2025-11-14T18:23:09.022256+00:00	-1	1.88
2025-11-14T18:23:09.030406+00:00	1	1.86
2025-11-14T18:23:09.042668+00:00	-1	1.86
2025-11-14T18:23:09.050829+00:00	0	1.82
2025-11-14T18:23:09.059196+00:00	0	1.82
2025-11-14T18:23:09.067463+00:00	-3	1.84
2025-11-14T18:23:09.075736+00:00	0	1.83
2025-11-14T18:23:09.083576+00:00	0	1.83
2025-11-14T18:23:09.092002+00:00	2	1.83
2025-11-14T18:23:09.100196+00:00	0	1.81
2025-11-14T18:23:09.108540+00:00	1	1.76
2025-11-14T18:23:09.116572+00:00	0	1.75
2025-11-14T18:23:09.125189+00:00	0	1.75
2025-11-14T18:23:09.132731+00:00	3	1.77
2025-11-14T18:23:09.141217+00:00	1	1.77
2025-11-14T18:23:09.149478+00:00	1	1.77
2025-11-14T18:23:09.157825+00:00	-1	1.77
2025-11-14T18:23:09.165778+00:00	1	1.77
2025-11-14T18:23:09.177842+00:00	-2	1.79
2025-11-14T18:23:09.186293+00:00	5	1.85
2025-11-14T18:23:09.194195+00:00	2	1.86
2025-11-14T18:23:09.202493+00:00	-3	1.88
2025-11-14T18:23:09.210661+00:00	2	1.89
2025-11-14T18:23:09.219051+00:00	-2	1.90
2025-11-14T18:23:09.226948+00:00	1	1.90
2025-11-14T18:23:09.239279+00:00	-4	1.94
2025-11-14T18:23:09.247836+00:00	0	1.94
2025-11-14T18:23:09.255779+00:00	1	1.95
2025-11-14T18:23:09.264408+00:00	0	1.94
2025-11-14T18:23:09.272190+00:00	0	1.93
2025-11-14T18:23:09.280394+00:00	-3	1.92
2025-11-14T18:23:09.288513+00:00	-1	1.89
2025-11-14T18:23:09.296975+00:00	0	1.88
2025-11-14T18:23:09.304719+00:00	0	1.79
2025-11-14T18:23:09.317043+00:00	-2	1.79
2025-11-14T18:23:09.325225+00:00	2	1.76
2025-11-14T18:23:09.333436+00:00	-7	1.87
2025-11-14T18:23:09.341648+00:00	0	1.87
2025-11-14T18:23:09.350079+00:00	5	1.93
2025-11-14T18:23:09.358061+00:00	2	1.93
2025-11-14T18:23:09.366529+00:00	1	1.93
2025-11-14T18:23:09.374714+00:00	0	1.93
2025-11-14T18:23:09.382668+00:00	-4	1.97
2025-11-14T18:23:09.394879+00:00	3	1.99
2025-11-14T18:23:09.403082+00:00	-2	2.00
2025-11-14T18:23:09.411537+00:00	-4	2.03
2025-11-14T18:23:09.419611+00:00	14	2.46
2025-11-14T18:23:09.431822+00:00	-4	2.49
2025-11-14T18:23:09.440021+00:00	1	2.46
2025-11-14T18:23:09.448305+00:00	19	3.10
2025-11-14T18:23:09.456394+00:00	-2	3.11
2025-11-14T18:23:09.468539+00:00	-3	3.11
2025-11-14T18:23:09.476751+00:00	1	3.10
2025-11-14T18:23:09.484981+00:00	-11	3.27
2025-11-14T18:23:09.497253+00:00	-11	3.45
2025-11-14T18:23:09.505390+00:00	9	3.57
2025-11-14T18:23:09.513611+00:00	1	3.57
2025-11-14T18:23:09.521824+00:00	-32	4.79
2025-11-14T18:23:09.534069+00:00	-11	4.90
2025-11-14T18:23:09.542351+00:00	14	5.09
2025-11-14T18:23:09.550552+00:00	55	7.49
2025-11-14T18:23:09.562802+00:00	-23	7.84
2025-11-14T18:23:09.571148+00:00	-15	7.98
2025-11-14T18:23:09.583221+00:00	54	9.63
2025-11-14T18:23:09.595587+00:00	-158	18.50
2025-11-14T18:23:09.603807+00:00	31	18.76
